event_id,destination_group,period,hours,mean_transactions,mean_volume,mean_active_senders,total_transactions,total_volume
E067,cex_bound,anticipatory,24,3138.5416666666665,218593418.43128994,3052.0416666666665,75325,5246242042.350959
E067,cex_bound,baseline,144,2960.1111111111113,239867978.56286547,2897.527777777778,426256,34540988913.05263
E067,cex_bound,post,143,2017.909090909091,182850709.93032706,1966.167832167832,288561,26147651520.03677
E067,cex_bound,recovery,18,2035.888888888889,235299242.63364753,2003.611111111111,36646,4235386367.4056554
E067,cex_bound,shock,7,3309.4285714285716,412044433.3934826,3188.4285714285716,23166,2884311033.7543783
E067,non_cex,anticipatory,24,20844.833333333332,2476101056.9464393,11865.791666666666,500276,59426425366.71454
E067,non_cex,baseline,144,21115.833333333332,2531772253.203552,16225.902777777777,3040680,364575204461.31146
E067,non_cex,post,143,18845.53846153846,1384446372.9529757,12167.32867132867,2694912,197975831332.27554
E067,non_cex,recovery,18,19560.166666666668,1899774285.8112733,12396.888888888889,352083,34195937144.60292
E067,non_cex,shock,7,20574.14285714286,2165359183.752845,11381.714285714286,144019,15157514286.269913
